Versión de R: R version 4.4.2 (2024-10-31 ucrt)
Versión de RStudio: 2024.12.0.467

Paquetes instalados y sus versiones:
"Package" "Version"
"svglite" "2.1.3"
"sys" "3.4.2"
"systemfonts" "1.1.0"
"terra" "1.8-5"
"textshaping" "0.4.0"
"tibble" "3.2.1"
"tidyr" "1.3.1"
"tidyselect" "1.2.1"
"tidyverse" "2.0.0"
"timechange" "0.3.0"
"tinytex" "0.51"
"tzdb" "0.4.0"
"units" "0.8-5"
"utf8" "1.2.4"
"uuid" "1.2-1"
"vctrs" "0.6.5"
"viridisLite" "0.4.2"
"vroom" "1.6.5"
"withr" "3.0.1"
"wk" "0.9.4"
"xfun" "0.49"
"xlsx" "0.6.5"
"xlsxjars" "0.6.1"
"xml2" "1.3.6"
"xmlparsedata" "1.0.5"
"yaml" "2.3.8"
"zip" "2.3.1"
"base" "4.4.2"
"boot" "1.3-31"
"class" "7.3-22"
"cluster" "2.1.6"
"codetools" "0.2-20"
"compiler" "4.4.2"
"datasets" "4.4.2"
"foreign" "0.8-87"
"graphics" "4.4.2"
"grDevices" "4.4.2"
"grid" "4.4.2"
"KernSmooth" "2.23-24"
"lattice" "0.22-6"
"MASS" "7.3-61"
"Matrix" "1.7-1"
"methods" "4.4.2"
"mgcv" "1.9-1"
"nlme" "3.1-166"
"nnet" "7.3-19"
"parallel" "4.4.2"
"rpart" "4.1.23"
"spatial" "7.3-17"
"splines" "4.4.2"
"stats" "4.4.2"
"stats4" "4.4.2"
"survival" "3.7-0"
"tcltk" "4.4.2"
"tools" "4.4.2"
"translations" "4.4.2"
"utils" "4.4.2"
